nom;latitude_mairie;longitude_mairie;beach_coordinates;latitude_plage;longitude_plage;station;latitude_gare;longitude_gare;latitude_port;longitude_port
Hennebont;47.8438061;-3.2664434;[];47.825097;-3.249034;[(Decimal('47.7822090'), Decimal('-3.1941808')), (Decimal('47.7050271'), Decimal('-3.3462488')), (Decimal('47.7991635'), Decimal('-3.2858029')), (Decimal('47.8570331'), Decimal('-3.2141432'))];47.799595;-3.285553;47.799667;-3.275698
Lanester;47.7635301;-3.3473037;[];47.768752;-3.330799;[(None, None)];47.755457;-3.337051;47.769348;-3.35873
Larmor-Plage;47.7061002;-3.3834256;[];47.713823;-3.373927;[(None, None)];47.707038;-3.402921;;
Locmiquélic;47.7260564;-3.3411351;[];47.729833;-3.345496;[(None, None)];47.726973;-3.32971;47.724044;-3.347994
Lorient;47.5699253;-2.9453491;[(Decimal('47.6175568'), Decimal('-3.1848329')), (Decimal('47.3428410'), Decimal('-3.1472483')), (Decimal('47.6229851'), Decimal('-3.4561170')), (Decimal('47.2994049'), Decimal('-3.1822098')), (Decimal('47.5647172'), Decimal('-3.0975466')), (Decimal('47.6288584'), Decimal('-3.1982318')), (Decimal('47.6490553'), Decimal('-3.4790716')), (Decimal('47.6110780'), Decimal('-3.1692650')), (Decimal('47.5959035'), Decimal('-3.1506295')), (Decimal('47.5926912'), Decimal('-3.1486121')), (Decimal('47.5816670'), Decimal('-3.1418686')), (Decimal('47.5765510'), Decimal('-3.1400660'))];47.74131;-3.361112;[(Decimal('47.5755984'), Decimal('-3.1324467')), (Decimal('47.5679932'), Decimal('-2.9366408')), (Decimal('47.5208871'), Decimal('-3.1386904')), (Decimal('47.5580242'), Decimal('-3.1330890')), (Decimal('47.6524660'), Decimal('-3.0721919')), (Decimal('47.5862096'), Decimal('-3.0257021')), (Decimal('47.6045616'), Decimal('-3.1180189')), (Decimal('47.3470847'), Decimal('-3.1535660')), (Decimal('47.6642689'), Decimal('-2.9780792')), (Decimal('47.5369503'), Decimal('-3.1363774')), (Decimal('47.5465128'), Decimal('-3.1337184')), (Decimal('47.7294405'), Decimal('-3.3594471')), (Decimal('47.7357333'), Decimal('-3.0857436')), (Decimal('47.7822090'), Decimal('-3.1941808')), (Decimal('47.7595780'), Decimal('-3.1251313')), (Decimal('47.7717726'), Decimal('-3.5295534')), (Decimal('47.4854404'), Decimal('-3.1182611')), (Decimal('47.7442631'), Decimal('-3.3567310')), (Decimal('47.7050271'), Decimal('-3.3462488')), (Decimal('47.7991635'), Decimal('-3.2858029')), (Decimal('47.6442497'), Decimal('-3.4466221')), (Decimal('47.6441348'), Decimal('-3.4466186')), (Decimal('47.8570331'), Decimal('-3.2141432')), (Decimal('47.8328203'), Decimal('-3.0335730')), (Decimal('47.8029641'), Decimal('-3.4431612')), (Decimal('47.7551130'), Decimal('-3.3669499'))];47.745072;-3.378678;;
Ploemeur;47.7061002;-3.3834256;[];47.728238;-3.432572;[(None, None)];47.704398;-3.455984;47.702105;-3.456169
Pont-Scorff;47.8533075;-3.3846505;[];47.835169;-3.419352;[(Decimal('47.7717726'), Decimal('-3.5295534')), (Decimal('47.8029641'), Decimal('-3.4431612'))];47.831932;-3.415078;;
Port-Louis;47.6974894;-3.2520118;[];;;[(Decimal('47.7050271'), Decimal('-3.3462488')), (Decimal('16.4178460'), Decimal('-61.5166290'))];47.705088;-3.352978;;
Quéven;47.777988;-3.391739;[];47.794262;-3.437142;[(None, None)];47.790361;-3.413127;;
Riantec;47.7119243;-3.3100488;[];;;[(None, None)];47.71314;-3.312271;47.709311;-3.335855
Île-d'Yeu;46.724469;-2.348405;[];46.72335;-2.34326;[(None, None)];46.718146;-2.379248;46.726701;-2.353776
Créhen;48.53167;-2.202748;[];;;[(None, None)];;;48.570231;-2.212962
Binic-Étables-sur-Mer;48.601902;-2.82771;[];48.633639;-2.831564;[(None, None)];48.60059;-2.829969;48.642739;-2.829711
Hillion;48.5134178;-2.6676699;[];48.48096;-2.645824;[(None, None)];48.500448;-2.656008;;
Langrolay-sur-Rance;48.552212;-2.004242;[];48.55316;-2.012997;[(None, None)];48.55316;-2.012997;48.554861;-2.00199
Langueux;48.5134178;-2.6676699;[];48.510653;-2.707105;[(Decimal('48.4702292'), Decimal('-2.6524691'))];48.495249;-2.708262;48.500767;-2.717469
Lanvallay;48.4091428;-2.0286899;[];48.438633;-2.015069;[(Decimal('48.4995066'), Decimal('-1.9617299'))];;;48.454376;-2.029876
Matignon;48.6275722;-2.2635819;[];;;[(None, None)];;;;
Paimpol;48.7693702;-3.0255543;[];48.774748;-3.041297;[(Decimal('48.7276078'), Decimal('-3.1285063')), (Decimal('48.7769669'), Decimal('-3.0460582')), (Decimal('48.7485926'), Decimal('-3.1348799')), (Decimal('48.7618730'), Decimal('-3.1181396'))];48.783408;-3.090704;48.780152;-3.045022
Plancoët;48.5471924;-2.2310014;[];48.51932;-2.222257;[(Decimal('48.4960574'), Decimal('-2.1414331')), (Decimal('48.5074301'), Decimal('-2.3313750')), (Decimal('48.5215859'), Decimal('-2.2289039'))];48.521612;-2.229411;48.520609;-2.238901
Pléboulle;48.600426;-2.33081;[];48.591723;-2.353831;[(None, None)];48.603897;-2.335521;48.618126;-2.335705
Fréhel;48.6278311;-2.3652432;[];48.651584;-2.364239;[(None, None)];;;48.649247;-2.357375
Plérin;48.5237968;-2.8480390;[];48.548967;-2.732997;[(None, None)];;;48.529588;-2.733192
Pleudihen-sur-Rance;48.513423;-1.949744;[];48.509559;-1.949174;[(Decimal('48.4995066'), Decimal('-1.9617299'))];48.500143;-1.961171;48.503767;-1.974261
Plévenon;48.6551388;-2.3314190;[];48.656402;-2.339705;[(None, None)];48.684178;-2.318774;;
Ploubazlanec;48.8018000;-3.0297436;[];48.791543;-3.046377;[(None, None)];48.796077;-3.034771;48.797038;-3.02954
Plouër-sur-Rance;48.51196;-2.025552;[];48.51196;-2.025552;[(None, None)];48.528144;-2.001839;48.51196;-2.025552
Plouézec;48.7497808;-2.9843285;[];48.715568;-2.984311;[(None, None)];48.749965;-2.978271;48.76158;-2.962501
Plourivo;48.7454501;-3.0705168;[];48.7375;-3.111102;[(Decimal('48.7276078'), Decimal('-3.1285063')), (Decimal('48.7485926'), Decimal('-3.1348799')), (Decimal('48.7618730'), Decimal('-3.1181396'))];48.75917;-3.118208;48.720627;-3.086957
Pordic;48.559072;-2.809544;[];48.570185;-2.772916;[(None, None)];48.57145;-2.813473;48.581758;-2.7847
Quemper-Guézennec;48.7040008;-3.1071867;[];48.70732;-3.153454;[(None, None)];48.695278;-3.151614;48.705628;-3.110789
